GEOID20,tot_pop_20,bpop_20,hpop_20,asian_nhpi_pop_20,amin_pop_20,other_pop_20,white_pop_20,STATEFP,STATE
04013,4420568,335335,1315966,258271,105224,48201,2357571,04,AZ
04015,213267,3942,33565,4684,7976,2935,160165,04,AZ
04017,106717,1437,10645,1034,48167,648,44786,04,AZ
04019,1043433,55022,364171,42718,33033,11621,536868,04,AZ
04021,425264,28700,118348,11371,21972,4867,240006,04,AZ
04023,47669,341,39448,345,185,231,7119,04,AZ
04025,236209,3175,33908,4844,7350,3636,183296,04,AZ
04027,203881,5809,128594,3502,3152,1701,61123,04,AZ
05001,17149,4423,595,144,292,120,11575,05,AR
05003,19062,4890,1077,66,238,106,12685,05,AR
05005,41627,275,1039,398,1400,466,38049,05,AR
05007,284333,7553,49855,18719,13427,3018,191761,05,AR
05009,37373,271,944,386,1603,416,33753,05,AR
05011,10545,3091,1544,48,97,57,5708,05,AR
05013,4739,977,116,23,89,35,3499,05,AR
05015,28260,259,4269,1100,1096,361,21175,05,AR
05017,10208,5544,536,69,117,55,3887,05,AR
05019,21446,5500,1003,219,433,198,14093,05,AR
05021,14552,155,307,47,321,148,13574,05,AR
05023,24711,202,608,167,731,255,22748,05,AR
05025,7550,763,164,30,107,57,6429,05,AR
05027,22801,8155,718,220,332,140,13236,05,AR
05029,20715,2572,855,158,794,188,16148,05,AR
05031,111231,20502,6426,2159,2130,877,79137,05,AR
05033,60133,1619,4468,1319,4422,678,47627,05,AR
05035,48163,26700,1245,436,565,269,18948,05,AR
05037,16833,3896,320,149,275,126,12067,05,AR
05039,6482,2723,177,35,80,42,3425,05,AR
05041,11395,5613,730,79,182,59,4732,05,AR
05043,17350,5108,604,158,227,105,11148,05,AR
05045,123498,16853,6542,2274,3853,1403,92573,05,AR
05047,17097,174,480,232,813,197,15201,05,AR
05049,12075,84,146,86,450,108,11201,05,AR
05051,100180,10082,6785,1512,3410,1152,77239,05,AR
05053,17958,564,419,124,500,185,16166,05,AR
05055,45736,1294,1577,601,1184,571,40509,05,AR
05057,20065,6007,2886,141,354,119,10558,05,AR
05059,33040,4062,1193,241,1032,291,26221,05,AR
05061,12785,2833,1464,100,337,69,7982,05,AR
05063,37938,1253,3197,513,1065,399,31511,05,AR
05065,13577,348,321,67,518,148,12175,05,AR
05067,16755,3044,423,96,325,113,12754,05,AR
05069,67260,38756,1308,888,745,333,25230,05,AR
05071,25749,731,3378,1020,984,236,19400,05,AR
05073,6308,2130,121,57,95,35,3870,05,AR
05075,16216,274,334,67,445,171,14925,05,AR
05077,8600,4827,199,28,86,36,3424,05,AR
05079,12941,3821,610,75,184,63,8188,05,AR
05081,12026,2367,374,63,537,92,8593,05,AR
05083,21131,409,619,414,850,253,18586,05,AR
05085,74015,5426,3517,1374,2250,852,60596,05,AR
05087,16521,114,875,385,801,271,14075,05,AR
05089,16826,90,366,117,646,193,15414,05,AR
05091,42600,11736,1448,339,1076,408,27593,05,AR
05093,40685,15089,1632,294,515,294,22861,05,AR
05095,6799,2874,174,38,121,54,3538,05,AR
05097,8484,45,408,80,368,84,7499,05,AR
05099,8310,2589,324,53,160,39,5145,05,AR
05101,7225,38,76,52,324,77,6658,05,AR
05103,22650,9430,434,193,343,158,12092,05,AR
05105,10019,191,285,45,320,109,9069,05,AR
05107,16568,10560,205,73,131,58,5541,05,AR
05109,10171,326,813,49,344,114,8525,05,AR
05111,22965,2170,801,115,506,210,19163,05,AR
05113,19221,177,1266,171,1232,283,16092,05,AR
05115,63381,2848,6317,1030,2417,732,50037,05,AR
05117,8282,1010,136,35,145,32,6924,05,AR
05119,399125,151682,30909,12573,6696,3272,193993,05,AR
05121,18571,258,377,739,498,146,16553,05,AR
05123,23090,12825,598,146,225,90,9206,05,AR
05125,123416,11808,8297,2043,3276,1247,96745,05,AR
05127,9836,110,727,295,519,154,8031,05,AR
05129,7828,38,134,32,459,73,7092,05,AR
05131,127799,10687,18933,6785,7306,1303,82785,05,AR
05133,15839,770,5451,340,787,91,8400,05,AR
05135,17271,235,358,120,629,200,15729,05,AR
05137,12359,62,268,45,465,132,11387,05,AR
05139,39054,13242,1658,366,592,292,22904,05,AR
05141,15796,147,491,90,610,139,14319,05,AR
05143,245871,11778,44050,16463,10427,2587,160566,05,AR
05145,76822,4768,3362,980,2372,977,64363,05,AR
05147,6269,1734,77,42,96,85,4235,05,AR
05149,20263,407,4130,288,574,154,14710,05,AR
06001,1682353,198654,379384,601047,11290,19701,472277,06,CA
06003,1204,36,80,30,225,32,801,06,CA
06005,40474,1527,5916,1075,1565,666,29725,06,CA
06007,211632,6612,39122,13995,8939,3313,139651,06,CA
06009,45292,695,5749,1414,1880,886,34668,06,CA
06011,21839,323,13400,458,529,188,6941,06,CA
06013,1165927,124908,305143,252769,10659,17027,455421,06,CA
06015,27743,1193,5234,1178,3301,575,16262,06,CA
06017,191185,3073,26029,13104,5018,3820,140141,06,CA
06019,1008654,61218,531479,120779,14007,9282,271889,06,CA
06021,28917,383,12439,830,1028,340,13897,06,CA
06023,136463,3869,17974,6104,12359,2841,93316,06,CA
06025,179702,5326,151939,2790,2076,758,16813,06,CA
06027,19016,259,4314,448,2701,259,11035,06,CA
06029,909235,61810,491670,52640,15188,8327,279600,06,CA
06031,152486,11248,85155,7545,2835,1342,44361,06,CA
06033,68163,2106,15196,1811,3499,1349,44202,06,CA
06035,32730,2555,7415,1172,1668,386,19534,06,CA
06037,10014009,944640,4722880,1635790,50174,96916,2563609,06,CA
06039,156255,5851,92174,4716,3561,1554,48399,06,CA
06041,262321,9270,48572,23652,2384,5294,173149,06,CA
06043,17131,267,2087,474,1019,446,12838,06,CA
06045,91601,1495,23703,2770,5747,1681,56205,06,CA
06047,281202,12600,171541,22715,3275,2342,68729,06,CA
06049,8700,162,1222,133,608,129,6446,06,CA
06051,13195,158,3480,334,348,196,8679,06,CA
06053,439035,14665,262791,33583,3820,4099,120077,06,CA
06055,138019,3803,48305,13083,1944,1975,68909,06,CA
06057,102241,1150,10242,2947,3003,2089,82810,06,CA
06059,3186989,82258,1073372,777338,22510,32856,1198655,06,CA
06061,404739,11922,59054,46274,8312,6706,272471,06,CA
06063,19790,317,1825,355,978,316,15999,06,CA
06065,2418185,197681,1178335,202280,28332,23322,788235,06,CA
06067,1585055,197590,356275,335352,24360,21207,650271,06,CA
06069,64209,1123,38870,3094,682,655,19785,06,CA
06071,2181654,223454,1145614,203731,22326,20416,566113,06,CA
06073,3298634,211886,1092440,495274,35241,41588,1422205,06,CA
06075,873965,59840,131985,323476,4947,12411,341306,06,CA
06077,779233,75357,317361,153600,9661,7724,215530,06,CA
06079,282424,7119,66958,15303,5047,4529,183468,06,CA
06081,764442,23803,188091,260915,3773,11958,275902,06,CA
06083,448229,11930,208174,32840,5040,5499,184746,06,CA
06085,1936259,62664,479096,808211,10702,19878,555708,06,CA
06087,270861,5955,93228,17877,3714,4536,145551,06,CA
06089,182155,4009,19190,8535,10383,3144,136894,06,CA
06091,3236,64,340,43,91,83,2615,06,CA
06093,44076,1009,5413,1391,3475,731,32057,06,CA
06095,453491,76726,122446,87608,5921,5665,155125,06,CA
06097,488863,13244,139563,32764,9417,8083,285792,06,CA
06099,552878,22822,261950,44745,9452,6001,207908,06,CA
06101,99633,3301,31030,19902,2782,1252,41366,06,CA
06103,65829,1004,17774,1621,2921,1169,41340,06,CA
06105,16112,140,904,2395,1044,255,11374,06,CA
06107,473117,10101,306966,19447,7548,4033,125022,06,CA
06109,55620,1430,6999,1553,2262,1122,42254,06,CA
06111,843843,24420,360539,79507,8456,10071,360850,06,CA
06113,216403,9377,70370,36755,3016,2974,93911,06,CA
06115,81575,4891,22834,7352,3348,1400,41750,06,CA
08001,519572,24326,213015,28411,8420,6105,239295,08,CO
08003,16376,365,7627,223,422,249,7490,08,CO
08005,655070,86580,129389,53276,8983,8795,368047,08,CO
08007,13359,151,2127,198,477,231,10175,08,CO
